[2025-10-23 11:31:12] Target: QSO_sim_z0.6878_MgIIBlueWide_192.4169m7.8383.fits, z=0.6877761483192444, MAG=18.434707641601562, fobs=0.0, Warning: 13063 NaN values in noise flux replaced with floor value
[2025-10-23 11:31:13] Target: QSO_sim_z0.7957_MgIIBlueWide_342.466m18.4376.fits, z=0.7957478165626526, MAG=19.950096130371094, fobs=0.0, Warning: 5705 NaN values in target flux replaced with floor value
[2025-10-23 11:31:13] Target: QSO_sim_z0.7957_MgIIBlueWide_342.466m18.4376.fits, z=0.7957478165626526, MAG=19.950096130371094, fobs=0.0, Warning: 5705 NaN values in noise flux replaced with floor value
[2025-10-23 11:31:13] Target: QSO_sim_z1.1_MgIIBlueDeep_356.7144m30.8066.fits, z=1.100000023841858, MAG=20.589448928833008, fobs=0.0, Warning: 18018 NaN values in target flux replaced with floor value
[2025-10-23 11:31:13] Target: QSO_sim_z1.1_MgIIBlueDeep_356.7144m30.8066.fits, z=1.100000023841858, MAG=20.589448928833008, fobs=0.0, Warning: 18018 NaN values in noise flux replaced with floor value
[2025-10-23 11:31:13] Target: QSO_sim_z1.6658_MgIIBlueDeep_202.7248m2.6476.fits, z=1.6658283472061157, MAG=21.355409622192383, fobs=0.0, Warning: 18018 NaN values in target flux replaced with floor value
[2025-10-23 11:31:13] Target: QSO_sim_z1.6658_MgIIBlueDeep_202.7248m2.6476.fits, z=1.6658283472061157, MAG=21.355409622192383, fobs=0.0, Warning: 18018 NaN values in noise flux replaced with floor value
[2025-10-23 11:31:14] Target: QSO_sim_z0.9272_MgIIBlueWide_52.6264m4.3984.fits, z=0.9272295236587524, MAG=20.148447036743164, fobs=0.0, Warning: 18018 NaN values in target flux replaced with floor value
[2025-10-23 11:31:14] Target: QSO_sim_z0.9272_MgIIBlueWide_52.6264m4.3984.fits, z=0.9272295236587524, MAG=20.148447036743164, fobs=0.0, Warning: 18018 NaN values in noise flux replaced with floor value
[2025-10-23 11:31:15] Target: QSO_sim_z1.7281_MgIIBlueDeep_175.4202p3.9348.fits, z=1.7281157970428467, MAG=20.22344207763672, fobs=0.0, Warning: 18018 NaN values in target flux replaced with floor value
[2025-10-23 11:31:15] Target: QSO_sim_z1.7281_MgIIBlueDeep_175.4202p3.9348.fits, z=1.7281157970428467, MAG=20.22344207763672, fobs=0.0, Warning: 18018 NaN values in noise flux replaced with floor value
[2025-10-23 11:31:17] Target: QSO_sim_z0.9845_MgIIBlueWide_10.0613p3.7555.fits, z=0.9845142960548401, MAG=20.485145568847656, fobs=0.0, Warning: 18018 NaN values in target flux replaced with floor value
[2025-10-23 11:31:17] Target: QSO_sim_z0.9845_MgIIBlueWide_10.0613p3.7555.fits, z=0.9845142960548401, MAG=20.485145568847656, fobs=0.0, Warning: 18018 NaN values in noise flux replaced with floor value
[2025-10-23 11:31:18] Target: QSO_sim_z0.757_MgIIBlueWide_51.2381m4.7929.fits, z=0.7569772601127625, MAG=18.53021812438965, fobs=0.0, Warning: 18018 NaN values in target flux replaced with floor value
[2025-10-23 11:31:18] Target: QSO_sim_z0.757_MgIIBlueWide_51.2381m4.7929.fits, z=0.7569772601127625, MAG=18.53021812438965, fobs=0.0, Warning: 18018 NaN values in noise flux replaced with floor value
[2025-10-23 11:31:18] Target: QSO_sim_z0.85_MgIIBlueWide_348.4456m75.8816.fits, z=0.8500000238418579, MAG=19.775760650634766, fobs=0.0, Warning: 13063 NaN values in target flux replaced with floor value
[2025-10-23 11:31:18] Target: QSO_sim_z0.85_MgIIBlueWide_348.4456m75.8816.fits, z=0.8500000238418579, MAG=19.775760650634766, fobs=0.0, Warning: 13063 NaN values in noise flux replaced with floor value
[2025-10-23 11:31:19] Target: QSO_sim_z1.625_MgIIBlueDeep_167.7748m1.2668.fits, z=1.6250112056732178, MAG=21.865371704101562, fobs=0.0, Warning: 18018 NaN values in target flux replaced with floor value
[2025-10-23 11:31:19] Target: QSO_sim_z1.625_MgIIBlueDeep_167.7748m1.2668.fits, z=1.6250112056732178, MAG=21.865371704101562, fobs=0.0, Warning: 18018 NaN values in noise flux replaced with floor value
[2025-10-23 11:31:19] Target: QSO_sim_z0.77_MgIIBlueWide_10.9789p0.6741.fits, z=0.7699711918830872, MAG=20.205108642578125, fobs=0.0, Warning: 5705 NaN values in target flux replaced with floor value
[2025-10-23 11:31:19] Target: QSO_sim_z0.77_MgIIBlueWide_10.9789p0.6741.fits, z=0.7699711918830872, MAG=20.205108642578125, fobs=0.0, Warning: 5705 NaN values in noise flux replaced with floor value
[2025-10-23 11:31:21] Target: QSO_sim_z2.8251_DLABlue_23.3074m15.9102.fits, z=2.825063705444336, MAG=20.333023071289062, fobs=0.0, Warning: 13063 NaN values in target flux replaced with floor value
[2025-10-23 11:31:21] Target: QSO_sim_z2.8251_DLABlue_23.3074m15.9102.fits, z=2.825063705444336, MAG=20.333023071289062, fobs=0.0, Warning: 13063 NaN values in noise flux replaced with floor value
[2025-10-23 11:31:22] Target: QSO_sim_z1.5219_MgIIBlueDeep_202.3548m3.8258.fits, z=1.5218892097473145, MAG=20.92937660217285, fobs=0.0, Warning: 13063 NaN values in target flux replaced with floor value
[2025-10-23 11:31:22] Target: QSO_sim_z1.5219_MgIIBlueDeep_202.3548m3.8258.fits, z=1.5218892097473145, MAG=20.92937660217285, fobs=0.0, Warning: 13063 NaN values in noise flux replaced with floor value
[2025-10-23 11:31:22] Target: QSO_sim_z1.05_MgIIBlueDeep_3.3469m27.811.fits, z=1.0499999523162842, MAG=21.29068374633789, fobs=0.0, Warning: 18018 NaN values in target flux replaced with floor value
[2025-10-23 11:31:22] Target: QSO_sim_z1.05_MgIIBlueDeep_3.3469m27.811.fits, z=1.0499999523162842, MAG=21.29068374633789, fobs=0.0, Warning: 18018 NaN values in noise flux replaced with floor value
[2025-10-23 11:31:25] Target: QSO_sim_z0.8137_MgIIBlueWide_53.1686m3.3026.fits, z=0.8137072324752808, MAG=18.942787170410156, fobs=0.0, Warning: 13063 NaN values in target flux replaced with floor value
